"id","general","personality","tech"
147,"NLP","na","na"
148,"ANALYSIS","na","na"
148,"STATISTICS","na","na"
148,"VISUALIZATION","na","na"
148,"AI","na","na"
148,"SOFTWARE DEVELOPMENT","na","na"
148,"DATA ENGINEERING","na","na"
148,"DATA ANALYTICS","na","na"
148,"METRICS","na","na"
148,"SYSTEMS ENGINEER","na","na"
149,"MACHINE LEARNING","na","na"
149,"AI","na","na"
149,"DATA WRANGLING","na","na"
149,"METRICS","na","na"
150,"SOFTWARE ENGINEER","na","na"
151,"DATA WRANGLING","na","na"
151,"METRICS","na","na"
152,"ANALYSIS","na","na"
152,"COMPUTER SCIENCE","na","na"
152,"AI","na","na"
152,"ARTIFICIAL INTELLIGENCE","na","na"
153,"AI","na","na"
153,"ARTIFICIAL INTELLIGENCE","na","na"
153,"PROJECT MANAGEMENT","na","na"
154,"MACHINE LEARNING","na","na"
154,"COMPUTER SCIENCE","na","na"
154,"AI","na","na"
154,"ARTIFICIAL INTELLIGENCE","na","na"
154,"SOFTWARE DEVELOPMENT","na","na"
155,"ANALYSIS","na","na"
155,"MACHINE LEARNING","na","na"
155,"COMPUTER SCIENCE","na","na"
155,"AI","na","na"
155,"SOFTWARE DEVELOPMENT","na","na"
155,"SOFTWARE ENGINEER","na","na"
157,"MACHINE LEARNING","na","na"
157,"AI","na","na"
157,"DEEP LEARNING","na","na"
157,"PREDICTIVE MODELS","na","na"
158,"MACHINE LEARNING","na","na"
158,"STATISTICS","na","na"
158,"COMPUTER SCIENCE","na","na"
158,"MATHEMATICS","na","na"
158,"VISUALIZATION","na","na"
158,"AI","na","na"
158,"DATA ANALYTICS","na","na"
158,"ALGORITHMS","na","na"
159,"ANALYSIS","na","na"
159,"MACHINE LEARNING","na","na"
159,"STATISTICS","na","na"
159,"AI","na","na"
159,"PREDICTIVE MODELS","na","na"
